"Number","Group","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Publication Species Name","tsn","tsn rank","Wet_Mass","DM/WM","Dry_Mass","Carbon_Mass","MR_original","MR","Temp","MR_25","type_MR","O2 original J/mL","Reference","Source","Comments","Measure","Temp_original","Unit","MR_mL/min","MR_kJ/h","MR_Watt","Mass_mean","SMR","Species2","BMR","dBMR","dMsum","d Scope","Diet Grp","PP Grp","Year","Loc","Original_Source","MR_type"
79,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma gracile","Ambystoma gracile","173597","Species",30.39,0.3,9.117,4.5585,0.00352524,0.00352524,"15",0.00777984,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma jeffersonianum","Ambystoma jeffersonianum","173598","Species",8.92,0.3,2.676,1.338,0.00175724,0.00175724,"15",0.0038802,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma macrodactylum","Ambystoma macrodactylum","173601","Species",3.414,0.3,1.0242,0.5121,0.000611106,0.000611106,"15",0.001351944,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma macrodactylum",NA,NA,NA,3.7,0.3,1.11,0.555,0.4514,NA,"15",0.00554218888933226,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.00752333333333333,0.009028,0.0025077777779784,3.554124,1.374689,"Ambystoma macrodactylum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum","Ambystoma maculatum","173590","Species",15.83,0.3,4.749,2.3745,0.00201041,0.00201041,"15",0.00444823,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum",NA,NA,NA,13.1,0.3,3.93,1.965,0.3157,NA,"5",0.00856616872290752,"Basal",NA,NA,"White_et_al_2005",NA,NA,5,"mL_O2_h-1",0.00526166666666667,0.006314,0.0017538888890292,NA,NA,"Ambystoma maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum",NA,NA,NA,11.75,0.3,3.525,1.7625,0.3631,NA,"5",0.00985231505634374,"Basal",NA,NA,"White_et_al_2005",NA,NA,5,"mL_O2_h-1",0.00605166666666667,0.007262,0.0020172222223836,NA,NA,"Ambystoma maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum",NA,NA,NA,11.9,0.3,3.57,1.785,0.3045,NA,"10",0.00555780368553587,"Basal",NA,NA,"White_et_al_2005",NA,NA,10,"mL_O2_h-1",0.005075,0.00609,0.001691666666802,NA,NA,"Ambystoma maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum",NA,NA,NA,13.4,0.3,4.02,2.01,1.3199,NA,NA,0.053241368265454,"Basal",NA,NA,"White_et_al_2005",NA,NA,NA,"mL_O2_h-1",0.0219983333333333,0.026398,0.0073327777783644,NA,NA,"Ambystoma maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum",NA,NA,NA,0.512,0.3,0.1536,0.0768,0.0518,NA,"20",0.000427812422873724,"Basal",NA,NA,"White_et_al_2005",NA,NA,20,"mL_O2_h-1",0.000863333333333333,0.001036,0.0002877777778008,NA,NA,"Ambystoma maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum",NA,NA,NA,12.9,0.3,3.87,1.935,1.677,NA,"25",0.009316666667412,"Basal",NA,NA,"White_et_al_2005",NA,NA,25,"mL_O2_h-1",0.02795,0.03354,0.009316666667412,NA,NA,"Ambystoma maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","Ambystoma mexicanum","586244","Species",21.3,0.3,6.39,3.195,0.0017679,0.0017679,"22",0.0022365,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum",NA,NA,NA,43.7,0.3,13.11,6.555,0.9614,NA,"20",0.00794013249711966,"Basal",NA,NA,"White_et_al_2005",NA,NA,20,"mL_O2_h-1",0.0160233333333333,0.019228,0.0053411111115384,NA,NA,"Ambystoma mexicanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma opacum","Ambystoma opacum","173591","Species",4.65,0.3,1.395,0.6975,0.00047895,0.00047895,"14",0.0011439,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma opacum",NA,NA,NA,5.8,0.3,1.74,0.87,0.464,NA,"15",0.00569688888934464,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.00773333333333333,0.00928,0.002577777777984,5.193265,1.286995,"Ambystoma opacum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma talpoideum","Ambystoma talpoideum","173604","Species",7,0.3,2.1,1.05,0.003108,0.003108,"15",0.006867,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum","Ambystoma tigrinum","173592","Species",10.78,0.3,3.234,1.617,0.00076538,0.00076538,"15",0.00169246,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,23,0.3,6.9,3.45,0.276,NA,"5",0.00748895333393245,"Basal",NA,NA,"White_et_al_2005",NA,NA,5,"mL_O2_h-1",0.0046,0.00552,0.001533333333456,NA,NA,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,16.49,0.3,4.947,2.4735,0.8595,NA,"6",0.0215436207860596,"Basal",NA,NA,"White_et_al_2005",NA,NA,6,"mL_O2_h-1",0.014325,0.01719,0.004775000000382,NA,NA,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,15,0.3,4.5,2.25,0.8895,NA,"10",0.0162353575641516,"Basal",NA,NA,"White_et_al_2005",NA,NA,10,"mL_O2_h-1",0.014825,0.01779,0.004941666667062,NA,NA,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,35,0.3,10.5,5.25,1.5484,NA,"15",0.019010911112632,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.0258066666666667,0.030968,0.0086022222229104,NA,NA,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,16.5,0.3,4.95,2.475,1.5246,NA,"15",0.0187187000014975,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.02541,0.030492,0.0084700000006776,NA,NA,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,29.4,0.3,8.82,4.41,2.9988,NA,"23",0.0195233100711207,"Basal",NA,NA,"White_et_al_2005",NA,NA,23,"mL_O2_h-1",0.04998,0.059976,0.0166600000013328,NA,NA,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,33.8,0.3,10.14,5.07,2.6026,NA,"23",0.0169438998236291,"Basal",NA,NA,"White_et_al_2005",NA,NA,23,"mL_O2_h-1",0.0433766666666667,0.052052,0.0144588888900456,NA,NA,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,8.1,0.3,2.43,1.215,0.891,NA,"25",0.004950000000396,"Basal",NA,NA,"White_et_al_2005",NA,NA,25,"mL_O2_h-1",0.01485,0.01782,0.004950000000396,NA,NA,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",NA,NA,NA,14.9,0.3,4.47,2.235,1.5675,NA,"25",0.00870833333403,"Basal",NA,NA,"White_et_al_2005",NA,NA,25,"mL_O2_h-1",0.026125,0.03135,0.00870833333403,19.20684,5.785948,"Ambystoma tigrinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means","Amphiuma means","173609","Species",352,0.3,105.6,52.8,0.004928,0.004928,"5",0.023936,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means",NA,NA,NA,500,0.3,150,75,1.65,NA,"5",0.0447709166702483,"Basal",NA,NA,"White_et_al_2005",NA,NA,5,"mL_O2_h-1",0.0275,0.033,0.0091666666674,NA,NA,"Amphiuma means",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means",NA,NA,NA,375,0.3,112.5,56.25,2.531,NA,"15",0.0310750555580416,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.0421833333333333,0.05062,0.014061111112236,NA,NA,"Amphiuma means",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means",NA,NA,NA,408,0.3,122.4,61.2,2.513,NA,NA,0.101367950944076,"Basal",NA,NA,"White_et_al_2005",NA,NA,NA,"mL_O2_h-1",0.0418833333333333,0.05026,0.013961111112228,NA,NA,"Amphiuma means",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means",NA,NA,NA,125,0.3,37.5,18.75,4.875,NA,"18",0.047182039140687,"Basal",NA,NA,"White_et_al_2005",NA,NA,18,"mL_O2_h-1",0.08125,0.0975,0.0270833333355,NA,NA,"Amphiuma means",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means",NA,NA,NA,83,0.3,24.9,12.45,2.324,NA,"20",0.0191937465397401,"Basal",NA,NA,"White_et_al_2005",NA,NA,20,"mL_O2_h-1",0.0387333333333333,0.04648,0.012911111112144,NA,NA,"Amphiuma means",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means",NA,NA,NA,1270,0.3,381,190.5,17.304,NA,"21.5",0.126885296001985,"Basal",NA,NA,"White_et_al_2005",NA,NA,21.5,"mL_O2_h-1",0.2884,0.34608,0.096133333341024,NA,NA,"Amphiuma means",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means",NA,NA,NA,376,0.3,112.8,56.4,5.038,NA,"25",0.027988888891128,"Basal",NA,NA,"White_et_al_2005",NA,NA,25,"mL_O2_h-1",0.0839666666666667,0.10076,0.027988888891128,NA,NA,"Amphiuma means",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma tridactylum","Amphiuma tridactylum","173612","Species",652,0.3,195.6,97.8,0.013692,0.013692,"15",0.029992,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma tridactylum",NA,NA,NA,493,0.3,147.9,73.95,9.86,NA,"25",0.05477777778216,"Basal",NA,NA,"White_et_al_2005",NA,NA,25,"mL_O2_h-1",0.164333333333333,0.1972,0.05477777778216,566.9533,20.43839,"Amphiuma tridactylum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus americanus","Bufo americanus","773511","Species",50,0.3,15,7.5,0.0077,0.0077,"20",0.01145,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus boreas","Bufo boreas","773513","Species",57.8,0.3,17.34,8.67,0.0058378,0.0058378,"20",0.00867,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus cognatus","Bufo cognatus","773516","Species",40.2,0.3,12.06,6.03,0.0164418,0.0164418,"25",0.0164418,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus debilis","Bufo debilus","773518","Species",0.66,0.3,0.198,0.099,0.00046926,0.00046926,"15",0.00103686,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus terrestris","Bufo terrestris","773531","Species",19.8,0.3,5.94,2.97,0.0124542,0.0124542,"25",0.0124542,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus woodhousii","Bufo woodhousii","773532","Species",56.3,0.3,16.89,8.445,0.0124423,0.0124423,"25",0.0124423,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","Aneides ferreus","Aneides ferreus","173700","Species",2.73,0.3,0.819,0.4095,0.00041223,0.00041223,"15",0.00091182,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","Aneides ferreus",NA,NA,NA,3.2,0.3,0.96,0.48,0.2118,NA,"25",0.0011766666667608,"Basal",NA,NA,"White_et_al_2005",NA,NA,25,"mL_O2_h-1",0.00353,0.004236,0.0011766666667608,2.955673,0.521441,"Aneides ferreus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","Aneides flavipunctatus","Aneides flavipunctatus","173701","Species",4.57,0.3,1.371,0.6855,0.00066722,0.00066722,"15",0.00147611,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
